,,Close to source/first,,Far from source/second,,,,,,,,Calibrating,Measuring pixel locations of points on Petri dish ,,
Time,Frame,x,y,x,y,Thickness of track (1-10),Notes,Mag (calculate),Mag (cm),Pixels to cm,,Width of Petri dish (between measured points),x,y,
0,0,-239,1.97,-292.3,-118.5,5,alpha ,131.7342435,0.9257598417,142.2985072,,6.5,-719,11.85,Left point
2.43,73,-234,20,-254,-21,1,beta ,45.61797891,0.3205794623,,,,205.4,43.46,Right point
3.17,95,-235,13,-273,-146,3,beta ,163.4778272,1.148837261,,,,924.4,31.61,Don't edit!
3.17,95,-210,25,66,-154,4,beta ,328.9635238,2.311784785,,,,854515.36,999.1921,Don't edit!
3.17,95,-227,37,-184,209,2,alpha ,177.2935419,1.245926928,,,,924.9402965,,
4.7,141,-217,27,-89,14,3,alpha ,128.6584626,0.9041448514,,,,,,
5.37,161,-222,38,-109,239,2,beta ,230.5862095,1.620440116,,,,,,
5.37,161,-236,36,-279,128,3,alpha ,101.5529419,0.7136613299,,,,,,
5.87,176,-206,53,-48,158,2,beta ,189.7076699,1.333166972,,,,,,
7.04,211,-216,42,-141,117,2,beta ,106.0660172,0.7453768792,,,,,,
7.54,226,-185,126,-118,271,2,beta ,159.7310239,1.122506674,,,,,,
7.9,237,-212,1,-162,-40,1,beta ,64.66065264,0.4544014827,,,,,,
8.24,247,-234,44,-253,106,4,alpha ,64.84597135,0.4557038063,,,,,,
8.24,247,-211,20,-150,-38,4,alpha ,84.17244205,0.5915202045,,,,,,
8.7,261,-237,37,-214,55,1,beta ,29.20616373,0.2052457494,,,,,,
9,271,-226,63,-119,164,4,alpha ,147.1393897,1.034019208,,,,,,
9,271,-216,41,-5,162,1,beta ,243.2323992,1.709310969,,,,,,
9.4,282,-217,8,-206,-20,1,beta ,30.08321791,0.2114092306,,,,,,
9.7,293,-207,19,57,-76,1,beta ,280.5726287,1.971718708,,,,,,
10.7,321,-231,14,-251,-99,2,beta ,114.7562634,0.8064474164,,,,,,
11.4,344,-207,11,-182,-61,1,beta ,76.21679605,0.5356120565,,,,,,
11.4,344,-206,29,52,57,1,beta ,259.5149321,1.823736154,,,,,,
11.9,359,-218,46,24,171,3,alpha ,272.3765776,1.914121118,,,,,,
12.3,371,-213,31,-162,27,4,alpha ,51.15662225,0.359502171,,,,,,
12.3,371,-221,46,-176,157,4,alpha ,119.7747887,0.841715005,,,,,,
13.3,401,-224,6,-215,-140,1,beta ,146.2771342,1.027959725,,,,,,
13.3,401,-220,35,-199,47,5,alpha ,24.18677324,0.16997208,,,,,,
13.8,414,-301,40,-378,39,5,alpha ,77.00649323,0.5411616381,,,,,,
13.8,414,-236,51,-193,227,5,alpha ,181.1767093,1.273215812,,,,,,
15.2,457,-229,19,-241,-44,2,beta ,64.13267498,0.4506911299,,,,,,
15.2,457,-212,34,-126,47,2,beta ,86.97700846,0.6112292405,,,,,,
16.2,487,-225,9,-212,-77,1,beta ,86.97700846,0.6112292405,,,,,,
16.2,487,-241,19,-358,-44,3,alpha ,132.8834075,0.93383557,,,,,,
17.8,535,-236,33,-316,218,4,alpha ,201.5564437,1.416434,,,,,,
17.8,535,-213,10,-211,-30,3,alpha ,40.04996879,0.2814503791,,,,,,
18.6,558,-203,55,-54,152,2,beta ,177.7920133,1.249429926,,,,,,
18.6,558,-233,78,-231,297,1,beta ,219.0091322,1.53908243,,,,,,
21.5,647,-211,26,8,-101,1,beta ,253.1600284,1.779077191,,,,,,
23.4,703,-212,14,-80,-300,1,beta ,340.6170871,2.393679975,,,,,,
23.8,716,-197,31,13,-11,3,alpha ,214.1588196,1.504996952,,,,,,
24.5,736,-217,42,-106,161,3,alpha ,162.73291,1.14360237,,,,,,
25.4,762,-238,56,-202,350,1,beta ,296.1958811,2.081510812,,,,,,
27.1,814,-213,28,100,-62,1,beta ,325.6823606,2.288726474,,,,,,